id,gender,birth_date,job,TEXTNECK,ASYMMETRY,STOOPED,SLEEPINESS,product_chair,product_monitor_arm,product_wrist_guard,product_mouse,product_desk,product_holder,product_neck_pillow,product_mouse_pad,product_keyboard,product_cushion,product_id
3,Female,1973-10-17,student,0.32,0.39,0.49,0.08,,,,1203630018,,,,,,,1203630018
5,Female,1987-05-06,student,0.87,0.97,0.19,0.89,,,,,,5273195931,,,,,5273195931
6,Female,1991-10-15,developer,0.53,0.61,0.93,0.83,,,6257025448,,,,,,,,6257025448
8,Female,1976-04-25,ETC,0.87,0.66,0.72,0.34,,6091275505,,,,,,,,,6091275505
9,Female,2007-05-26,student,0.31,0.81,0.51,0.41,,,,,,,,5417804895,,,5417804895
10,Male,2008-01-26,Office worker,0.48,0.63,0.51,0.08,,,,,,,,310842037,,,310842037
12,Female,1973-06-29,planner,0.47,0.11,0.59,0.15,6651584294,,,,,,,,,,6651584294
13,Female,1975-08-10,Creator,0.43,0.35,0.85,0.16,,,,,,,2039515031,,,,2039515031
15,Female,2003-12-17,planner,0.57,0.83,0.25,0.42,,4896992347,,,,,,,,,4896992347
18,Female,1996-12-15,Office worker,0.78,0.21,0.22,0.92,,4896992347,,,,,,,,,4896992347
19,Female,1988-10-23,student,0.17,0.43,0.92,0.60,,,,,,,2039515031,,,,2039515031
23,Male,1986-12-31,Marketer,0.47,0.22,0.56,0.34,,1955685399,,,,,,,,,1955685399
24,Male,1989-01-25,planner,0.65,0.25,0.09,0.98,,,,,,,,,6406573735,,6406573735
26,Male,1970-11-13,planner,0.49,0.91,0.99,0.02,,,1758533117,,,,,,,,1758533117
28,Male,1983-05-03,developer,0.43,0.32,0.21,0.68,,,7561117482,,,,,,,,7561117482
29,Female,2002-05-28,Creator,0.41,0.43,0.64,0.49,,,,,,,7447851197,,,,7447851197
31,Female,2007-03-17,planner,0.66,0.27,0.68,0.65,,,,,,7403564872,,,,,7403564872
32,Female,2008-08-11,designer,0.67,0.91,0.22,0.20,,,,57649186,,,,,,,57649186
