,comment,score
0,사용하기 직관적이고 나무가 쑥쑥자라나서 뿌듯합니다! Ui도 이쁘고 백그라운드에서도 잘돌아가고 알람도 잘와서 계쇠 사용할 것 같습니다.ㅎ **추가되었으면 좋겠는 기능** 1. 집중 진행시 잠시 멈춤 기능 2. 한 타이밍이 끝나고 휴식시간 아이콘이 나왔을때 선택못하면 바로사라지는데 타이머 시작 안했을시 언제든 설정 가능하면 좋겠습니다.,5
1,"정말 좋아요! 집중도 잘 되고, 나무도 너무 귀여워요. 특히 프리미엄이 그렇게 비싼 가격도, 월 결제도 아닐뿐더러 나무를 실제로 심을 수 있다는 장점이 굉장히 크더라고요. 프리미엄을 결제하지 않더라도 집중에 필요한 기능은 모두 불편한 점 없이 사용할 수 있고요. 제가 설치한 앱 중에 가장 보람있는 앱입니다.",5
2,"집중하는데 정말 좋은것 같아요. 그런데 문제는 메뉴에 들어가고 성과 , 다른 목록들을 클릭하게 되면 로딩이 너무 오래걸리고 몇분이 지나도 같은 상태로 로딩중이에요 나무를 심는다는 취지가 너무 좋고 꽤 괜찮은거 같아서 결제했는데 좀 실망스러워요..어플 사용도 제대로 못하게 해놨는데 프리미엄이 무슨 소용인가요.. 제대로 고쳐주셨으면 합니다",4
3,"정말정말 만족스럽게 잘 쓰고 있습니다. 다만 몇가지 아쉬운 점을 꼽아보자면 광고 시청 후에 보상이 적절히 이루어지지 않을 때가 있다는 점, advanced detection 시 너무 예민하게 반응해서 잠깐 실수로 화면전환이 되어 곧장(대개 3초이내) 나무 키우는 화면으로 돌아가도 나무가 죽어버린다는 점이 있겠네요! 이외에는 불편한점 없이 잘 사용하고 있습니다. 이런 좋은 앱 많이 나왔으면 좋겠어요:D",5
4,좋습니다. 특히나 의지 박약한 사람들한테는 더 좋구요. 25분 단위로 끊으니까 길지도 않고 오히려 연속적으로 쓰게됩니다. 게다가 보상으로 예쁜 나무 모으는 재미도 있구요. 다만 뭔가 기능이 너무 많고 특히 설정 탭의 ui가 정돈되었으면 좋겠습니다. 흰색 줄글이 길게 있어서 어떤 기능이 있고 무엇을 활성화 시켜야하는지 굉장히 복잡합니다.,4
5,"프리미엄사용자 입니다. 사전 이용을 위해 사전을 키고 블루투스 키보드를 연결하면 식물이 시드네요, 세부설정에서 건드릴만한 건 다시 조정하도 같은현상이 반복됩니다. 화이트노이즈를 켠 상태에서 위 현상이 일어나면 화이트 노이즈가 꺼지지 않고 핸드폰을 재부팅해야하는 오류가 있습니다, 고쳐 주셨으면 합니다",3
6,시간관리도 할 수있고 꾸미기도 할수있어서 좋아요. 폰하고 싶을때마다 나무 죽이기 싫어서 그냥 하던일 하게 됌!그리고 백색소음 기능있어서 공부나 집중할때 유용해요.근데 알람 기능에 강제 어플 시작 기능도 있었으면 좋겠어요ㅠ 어플 시작하기 전까지가 굉장히 인내력을 요구하기때문에 그냥 시간 설정 해놓으면 어플기능 실행되었으면 좋겠어요..,5
7,수능공부하면서 집중하려고 사용하는 중인데 모드도 다양하고 카테고리로 편리하게 하루를 확인할 수 있어서 정말 좋았습니다. 요즘은 강의나 검색 등 공부할때도 휴대폰을 많이 사용하게 되는데 휴대폰을 사용하면서 그것도 공부하는시간으로 체크해둘 수 있다는게 좋았습니다. 아예 휴대폰 사용시간을 제한하는 앱들보다 훨씬 유용하다고 느꼈어요.😊 특히 식물🪴을 좋아하는 저같은 사람한테는 너무 확실한 동기부여가 되어서 앞으로도 많은 도움 받을 수 있을것 같습니다.,5
8,"좋은 앱이지만 안드로이드 갤럭시 핸드폰으로 앱을 실행시켰을 때 홈버튼을 누르고 포레스트앱은 백그라운드에 그대로 켜두면 다른 앱들을 모두 자유롭게 이용할 수 있습니다. 화이트리스트에 있는 앱을 제외하고, 다른 앱들이 잠기지 않는다면 앱의 효용성이 없어지는 거 아닐까요? 이 부분 빨리 개선되었으면 좋겠습니다. 피드백 부탁드립니다!",3
9,"★프리미엄을 쓰지 않고 무료로만 어플을 사용중인 유저입니다.★장점: 굳이 프리미엄을 사용하지 않아도 광고 이외에는 기능적인 면에서 제약이 없다고 생각합니다. 오히려 프리미엄 기능과는 달리 휴대폰은 기본적인 기능 일부(전화, 설정 등) 를 제외하고는 모든 어플의 접근을 차단시켜줘서 더 유용하다고 판단합니다. ★단점: 저는 일상에서 무음모드로 휴대폰을 사용하는데 중요한 알람은 블투시계로 받고 있습니다. 허나 어플 타이머를 동작시키면 바로 벨소리모드로 on 되는게 불편하네요. 매번 이런터라 타이머 동작시키고 다시 무음으로 바꾸는걸 반복하고 있는데요.. 조용한 분위기를 추구하는터라 이 부분이 개선됐으면 합니다. 제 선에서 이 문제를 방지할 수 있는 방법이 있으면 피드백 부탁드립니다! ★전체적으로 공부하는 시간에 집중하는 시간에 아주 잘 활용하고 있습니다. 다만 제가 언급한 문제 부분에 저는 약간 불편함이 있어 별점을 깎게 됐습니다. 앞으로 더 나은 기능에 대해 지속적인 개발 부탁드립니다 ^^건강하세요",3
